Gene	GeneDesc
K17344	rod outer segment membrane protein 1
K22385	calcium signal-modulating cyclophilin ligand
K03968	NADH dehydrogenase (ubiquinone) 1 subunit C2
K21629	G1-specific transcription factors activator MSA2
K08586	thiol protease [EC:3.4.22.-]
K02509	2-oxo-hept-3-ene-1,7-dioate hydratase [EC:4.2.1.-]
K04450	cyclic AMP-dependent transcription factor ATF-2
K06048	carboxylate-amine ligase [EC:6.3.-.-]
K16370	6-phosphofructokinase 2 [EC:2.7.1.11]
K08464	G protein-coupled receptor 128
K15351	secreted effector protein SseG
K17476	pentalenolactone synthase [EC:1.14.19.8]
K01458	N-formylglutamate deformylase [EC:3.5.1.68]
K11383	two-component system, NtrC family, sensor histidine kinase KinB [EC:2.7.13.3]
K10767	mRNA N6-methyladenine demethylase [EC:1.14.11.53]
K00921	1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]
K16852	SLAM family member 6
K11264	methylmalonyl-CoA decarboxylase [EC:4.1.1.41]
K17070	dichloromethane dehalogenase [EC:4.5.1.3]
K03462	nicotinamide phosphoribosyltransferase [EC:2.4.2.12]
K13282	cyanophycinase [EC:3.4.15.6]
K21944	period circadian protein 1
K12318	guanylate cyclase soluble subunit alpha [EC:4.6.1.2]
K07710	two-component system, NtrC family, sensor histidine kinase AtoS [EC:2.7.13.3]
K01584	arginine decarboxylase [EC:4.1.1.19]
K11165	dehydrogenase/reductase SDR family member 7 [EC:1.1.-.-]
K01280	tripeptidyl-peptidase II [EC:3.4.14.10]
K16543	centrosomal protein CEP89
K09228	KRAB domain-containing zinc finger protein
K02706	photosystem II P680 reaction center D2 protein [EC:1.10.3.9]
K13983	putative helicase MOV10L1 [EC:3.6.4.13]
K19105	nocardicin-A epimerase [EC:5.1.1.14]
K09549	prefoldin subunit 2
K06881	bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]
K08384	stage V sporulation protein D (sporulation-specific penicillin-binding protein)
K16759	coiled-coil domain-containing protein 102A
K13130	gem associated protein 2
K21799	transcriptional activator protein Pur-beta
K16898	ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12]
K10733	GINS complex subunit 2
K02679	prepilin peptidase dependent protein A
K03345	sentrin-specific protease 2 (axin associating molecule) [EC:3.4.22.68]
K03808	paraquat-inducible protein A
K11068	hemolysin III
K16762	centrosomal protein CEP57
K18005	[NiFe] hydrogenase diaphorase moiety large subunit [EC:1.12.1.2]
K05153	tumor necrosis factor receptor superfamily member 17
K16990	microRNA 497
K03352	anaphase-promoting complex subunit 5
K14537	nuclear GTP-binding protein
K04708	3-dehydrosphinganine reductase [EC:1.1.1.102]
K06313	spore germination protein
K02691	photosystem I subunit VII
K03942	NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:1.6.5.3 1.6.99.3]
K15694	RING finger protein 43 [EC:2.3.2.27]
K13360	FXYD domain-containing ion transport regulator 1
K06290	spore germination protein AC
K03849	alpha-1,3-glucosyltransferase [EC:2.4.1.265]
K09792	uncharacterized protein
K06993	ribonuclease H-related protein
K08609	disintegrin and metalloproteinase domain-containing protein 20 [EC:3.4.24.-]
K02996	small subunit ribosomal protein S9
K06501	CD68 antigen
K03781	catalase [EC:1.11.1.6]
K11145	ribonuclease III family protein [EC:3.1.26.-]
K11873	ubiquitin carboxyl-terminal hydrolase 10 [EC:3.4.19.12]
K06166	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG [EC:2.7.8.37]
K10169	toll-like receptor 6
K13453	disease resistance protein
K11909	type VI secretion system protein VasI
K09809	CDP-glycerol glycerophosphotransferase [EC:2.7.8.12]
K01045	arylesterase / paraoxonase [EC:3.1.1.2 3.1.8.1]
K11775	SWI/SNF complex component SWP73
K13144	integrator complex subunit 7
K05249	neuromedin U
K18463	WASH complex subunit CCDC53
K09101	nuclear receptor coactivator 1 [EC:2.3.1.48]
K00872	homoserine kinase [EC:2.7.1.39]
K03415	two-component system, chemotaxis family, chemotaxis protein CheV
K03166	DNA topoisomerase VI subunit A [EC:5.99.1.3]
K00455	3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K15565	CTD kinase subunit gamma
K05139	interleukin 22 receptor alpha 2
K04032	ethanolamine utilization cobalamin adenosyltransferase [EC:2.5.1.17]
K14769	U3 small nucleolar RNA-associated protein 11
K00053	ketol-acid reductoisomerase [EC:1.1.1.86]
K10761	tRNA(His) guanylyltransferase [EC:2.7.7.79]
K15638	cytochrome P450 family 72 subfamily C polypeptide 1
K19744	L-arginine dehydrogenase [EC:1.4.1.25]
K17292	tubulin-specific chaperone A
K13255	ferric iron reductase protein FhuF
K15927	oxygenase
K09543	heat shock protein beta-2
K08752	fatty acid-binding protein 3, muscle and heart
K08726	soluble epoxide hydrolase / lipid-phosphate phosphatase [EC:3.3.2.10 3.1.3.76]
K08177	MFS transporter, OFA family, oxalate/formate antiporter
K14624	C-C motif chemokine 2
K05033	ATP-binding cassette subfamily C (CFTR/MRP) member 9
K14350	arylacetamide deacetylase-like 2 [EC:3.1.1.-]
K14983	two-component system, OmpR family, response regulator CiaR
K20479	WASP homolog-associated protein with actin, membranes and microtubules
K17131	microRNA 192
K03826	putative acetyltransferase [EC:2.3.1.-]
K01191	alpha-mannosidase [EC:3.2.1.24]
K14302	nuclear pore complex protein Nup37
K09121	uncharacterized protein
K07010	putative glutamine amidotransferase
K01136	iduronate 2-sulfatase [EC:3.1.6.13]
K19550	bacilysin biosynthesis oxidoreductase BacG [EC:1.3.1.-]
K02668	two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]
K04088	membrane protease subunit HflK [EC:3.4.-.-]
K05811	putative lipoprotein
K03182	4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]
K11444	two-component system, chemotaxis family, response regulator WspR [EC:2.7.7.65]
K06519	solute carrier family 3, member 2
K06360	response regulator aspartate phosphatase B [EC:3.1.-.-]
K01790	dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]
K02251	competence protein ComQ
K19930	SRC kinase signaling inhibitor 1
K06490	intercellular adhesion molecule 1
K17162	microRNA 634
K15538	glycoprotein endo-alpha-1,2-mannosidase [EC:3.2.1.130]
K09312	homeobox protein CDX1/4
K04814	nicotinic acetylcholine receptor beta-3
K08718	rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha [EC:3.1.4.35]
K19952	guanine nucleotide exchange factor
K07399	cytochrome c biogenesis protein
K02581	NF-kappa-B inhibitor beta
K18070	MFS transporter, ACS family, phthalate transporter
K09145	uncharacterized protein
K16741	alstrom syndrome protein 1
K14349	neutral cholesterol ester hydrolase 1 [EC:3.1.1.-]
K17163	microRNA 642
K21678	presqualene diphosphate synthase [EC:2.5.1.103]
K17439	large subunit ribosomal protein L35
K00087	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K14695	solute carrier family 30 (zinc transporter), member 8
K22312	hydroxyjasmonate sulfotransferase [EC:2.8.2.39]
K18092	2-hydroxy-6-oxo-octa-2,4-dienoate hydrolase [EC:3.7.1.-]
K21240	virus replication protein
K13218	polypyrimidine tract-binding protein 1
K09014	Fe-S cluster assembly protein SufB
K13913	histatin
K20298	vacuolar protein sorting-associated protein 52
K06417	stage VI sporulation protein D
K03887	menaquinol-cytochrome c reductase cytochrome b subunit
K09294	homeobox protein HoxB/C/D9
K12975	KDO II ethanolaminephosphotransferase [EC:2.7.8.42]
K14574	ribosome maturation protein SDO1
K03572	DNA mismatch repair protein MutL
K00304	sarcosine oxidase, subunit delta [EC:1.5.3.1]
K05964	holo-ACP synthase [EC:2.7.7.61]
K11804	WD repeat-containing protein 42A
K10177	T-box protein 3
K10908	DNA-directed RNA polymerase, mitochondrial [EC:2.7.7.6]
K10235	alpha-glucoside transport system ATP-binding protein
K07042	probable rRNA maturation factor
K00934	arginine kinase [EC:2.7.3.3]
K18353	vancomycin resistance protein VanJ
K04252	short wavelength-sensitive opsin
K04178	C-C chemokine receptor type 3
K19129	CRISPR-associated protein Csy3
K20538	mitogen-activated protein kinase 8 [EC:2.7.11.24]
K18852	D-amino-acid N-acetyltransferase [EC:2.3.1.36]
K02049	NitT/TauT family transport system ATP-binding protein
K18083	myotubularin-related protein 6/7/8 [EC:3.1.3.64 3.1.3.95]
K16236	histidine permease
K03707	thiaminase (transcriptional activator TenA) [EC:3.5.99.2]
K13653	AraC family transcriptional regulator
K18733	la-related protein 6
K19999	leucine-rich repeat LGI family member 3
K02602	cytoplasmic polyadenylation element-binding protein
K03472	D-erythrose 4-phosphate dehydrogenase [EC:1.2.1.72]
K03246	translation initiation factor 3 subunit I
K14626	actinorhodin biosynthesis protein ActVIA
K20447	nicotinate dehydrogenase large molybdopterin subunit [EC:1.17.1.5]
K04678	E3 ubiquitin ligase SMURF1/2 [EC:2.3.2.26]
K11023	pertussis toxin subunit 1 [EC:2.4.2.-]
K02172	bla regulator protein blaR1
K05922	quinone-reactive Ni/Fe-hydrogenase large subunit [EC:1.12.5.1]
K18922	protein HokE
K05702	afadin
K05016	chloride channel 7
K07076	uncharacterized protein
K12475	disabled homolog 2
K22361	alkene monooxygenase effector subunit
K14918	small nucleolar RNA snR34
K19294	alginate O-acetyltransferase complex protein AlgI
K18149	penicillin-binding protein
K08019	Rap guanine nucleotide exchange factor 5
K17298	mucin-13
K07703	two-component system, CitB family, response regulator DcuR
K19097	beta-lactamase class A VEB [EC:3.5.2.6]
K05096	FMS-like tyrosine kinase 1 [EC:2.7.10.1]
K03791	putative chitinase
K13805	arrestin-2
K09772	cell division inhibitor SepF
K02317	DNA replication protein DnaT
K17757	ATP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.93]
K16490	spindle and centriole-associated protein 1
K16813	patatin-like phospholipase domain-containing protein 1 [EC:3.1.1.-]
K04516	chorismate mutase [EC:5.4.99.5]
K08588	ubiquitin carboxyl-terminal hydrolase BAP1 [EC:3.4.19.12]
K05766	protein phosphatase slingshot [EC:3.1.3.16 3.1.3.48]
K11407	histone deacetylase 6 [EC:3.5.1.98]
K00204	4Fe-4S ferredoxin
K05954	protein farnesyltransferase subunit beta [EC:2.5.1.58]
K05979	2-phosphosulfolactate phosphatase [EC:3.1.3.71]
K05675	ATP-binding cassette, subfamily D (ALD), member 1
K13365	Na(+)/H(+) exchange regulatory cofactor NHE-RF1
K08256	phosphatidyl-myo-inositol alpha-mannosyltransferase [EC:2.4.1.345]
K20255	perilipin-5
K20445	nicotinate dehydrogenase FAD-subunit [EC:1.17.1.5]
K14205	phosphatidylglycerol lysyltransferase [EC:2.3.2.3]
K05996	carboxypeptidase T [EC:3.4.17.18]
K13570	prokaryotic ubiquitin-like protein Pup
K07180	serine protein kinase
K19854	dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose transaminase [EC:2.6.1.89]
K21987	DNA-directed RNA polymerase II subunit GRINL1A
K11677	Ino eighty subunit 3
K02305	nitric oxide reductase subunit C
K17135	microRNA 433
K12267	peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12]
K19731	LuxR family transcriptional regulator, quorum-sensing system regulator CciR
K07596	desmoglein 1
K09311	Antp family, other
K18940	two-component system, OmpR family, sensor histidine kinase ArlS [EC:2.7.13.3]
K05962	protein-histidine pros-kinase [EC:2.7.13.1]
K12580	CCR4-NOT transcription complex subunit 3
K00176	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
K04022	alcohol dehydrogenase
K10330	ankyrin repeat and SOCS box protein 8
K21956	DNA damage-regulated autophagy modulator protein 2
K03113	translation initiation factor 1
K18411	protein maelstrom
K21180	3-O-acyltransferase
K06635	securin
K14398	cleavage and polyadenylation specificity factor subunit 6/7
K09857	uncharacterized protein
K06011	botulinum neurotoxin [EC:3.4.24.69]
K15614	homeobox protein SIX1
K13771	Rrf2 family transcriptional regulator, nitric oxide-sensitive transcriptional repressor
K05265	motilin
K16940	septin 10
K19337	RpiR family transcriptional regulator, carbohydrate utilization regulator
K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K12351	sphingomyelin phosphodiesterase 2 [EC:3.1.4.12]
K14097	energy-converting hydrogenase A subunit F
K13943	cabut
K02538	activator of the mannose operon, transcriptional antiterminator
K06365	response regulator aspartate phosphatase G [EC:3.1.-.-]
K04571	translocon-associated protein subunit delta
K16506	protocadherin Fat 1/2/3
K19733	LuxR family transcriptional regulator, quorum-sensing system regulator SinR
K01023	arylsulfate sulfotransferase [EC:2.8.2.22]
K15142	mediator of RNA polymerase II transcription subunit 29
K11597	RNA-induced transcriptional silencing complex protein Tas3
K20077	flavin-dependent monooxygenase StaC [EC:1.13.12.-]
K04001	C1 inhibitor
K16770	centriolin
K00264	glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]
K20488	two-component system, OmpR family, lantibiotic biosynthesis response regulator NisR/SpaR
K06192	paraquat-inducible protein B
K09780	uncharacterized protein
K14587	protein sgcE [EC:5.1.3.-]
K21827	IclR family transcriptional regulator, arginine deiminase pathway regulator
K16066	3-hydroxy acid dehydrogenase / malonic semialdehyde reductase [EC:1.1.1.381 1.1.1.-]
K13189	RNA-binding protein 14
K08089	high affinity immunoglobulin epsilon receptor subunit alpha
K09385	forkhead box protein G
K00422	polyphenol oxidase [EC:1.10.3.1]
K16758	coiled-coil domain-containing protein 85B
K01971	bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]
K18630	tektin-3
K04488	nitrogen fixation protein NifU and related proteins
K08623	a disintegrin and metalloproteinase with thrombospondin motifs 8 [EC:3.4.24.-]
K18612	5-formyl-3-hydroxy-2-methylpyridine 4-carboxylate dehydrogenase [EC:1.2.1.-]
K10495	zinc finger and BTB domain-containing protein 8
K00098	L-idonate 5-dehydrogenase [EC:1.1.1.264]
K03204	type IV secretion system protein VirB9
K08182	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 5
K21936	anaerobilin synthase [EC:2.1.1.342]
K00547	homocysteine S-methyltransferase [EC:2.1.1.10]
K14427	solute carrier family 12 (potassium/chloride transporter), member 4/5/6
K12173	BRCA1-A complex subunit BRE
K00947	molybdenum storage protein
K14453	solute carrier family 26, other
K21006	polysaccharide biosynthesis protein PelA
K12679	outer membrane protein IcsA
K04229	oxytocin receptor
K19775	GntR family transcriptional regulator, hexuronate regulon transcriptional repressor
K05444	interleukin 19/20/24
K20464	oxysterol-binding protein-related protein 5
K17597	double-stranded RNA-binding protein Staufen
K20174	oxysterol-binding protein-related protein 1/2
K14805	ATP-dependent RNA helicase DDX24/MAK5 [EC:3.6.4.13]
K17028	microRNA 181d
K20375	HTH-type transcriptional regulator, pheromone-responsive regulator
K16511	adapter protein MecA 1/2
K10308	F-box protein 31
K10574	ubiquitin-conjugating enzyme E2 B [EC:2.3.2.23]
K16568	exopolysaccharide production protein ExoZ
K12491	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1/3
K14342	solute carrier family 10 (sodium/bile acid cotransporter), member 2
K10379	phakinin
K20577	paromamine/lividamine 6'-oxidase [EC:1.1.3.43 1.1.3.-]
K06200	carbon starvation protein
K08603	thermolysin [EC:3.4.24.27]
K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K07110	XRE family transcriptional regulator, fatty acid utilization regulator
K05677	ATP-binding cassette, subfamily D (ALD), member 3
K11014	cytolethal distending toxin subunit B
K20422	neocarzinostatin naphthoate synthase [EC:2.3.1.237]
K15844	outer membrane protein HopB/AlpB
K09066	factor in the germline alpha
K13176	THO complex subunit 7
K15188	cyclin T
K05743	LIM domain kinase 1 [EC:2.7.11.1]
K05476	tumor necrosis factor ligand superfamily member 13B
K04619	G protein-coupled receptor family C group 5 member B
K17559	phostensin
K00802	spermine synthase [EC:2.5.1.22]
K08872	RIO kinase 3 [EC:2.7.11.1]
K01781	mandelate racemase [EC:5.1.2.2]
K10258	very-long-chain enoyl-CoA reductase [EC:1.3.1.93]
K15289	solute carrier family 35, member F5
K05707	snail 1
K18752	transportin-1
K06633	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase [EC:2.7.11.1]
K18452	Bcl-2-interacting killer
K22396	xylonate dehydratase [EC:4.2.1.82]
K17604	zinc finger SWIM domain-containing protein 3
K18061	myotubularin-related protein 5/13
K13298	dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11 [EC:3.1.4.17 3.1.4.35]
K10722	ecdysteroid 2-hydroxylase
K04697	suppressor of cytokine signaling 4
K16756	coiled-coil domain-containing protein 64
K13611	polyketide synthase PksJ
K12425	fatty acid CoA ligase FadD23
K07673	two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]
K05133	interferon gamma receptor 2
K14136	decaprenyl-phosphate phosphoribosyltransferase [EC:2.4.2.45]
K07177	Lon-like protease
K09633	transmembrane protease serine 2 [EC:3.4.21.-]
K06225	patched 1
K16443	desvancosaminyl-vancomycin vancosaminetransferase [EC:2.4.1.322]
K00832	aromatic-amino-acid transaminase [EC:2.6.1.57]
K08431	G protein-coupled receptor 146
K17294	tetraspanin-4
K10630	RanBP-type and C3HC4-type zinc finger-containing protein 1 [EC:2.3.2.27]
K13408	membrane fusion protein
K00588	caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]
K05416	C-X-C motif chemokine 9
K11138	telomere-associated protein RIF1
K18802	glutamine amidotransferase
K08579	calpain-10 [EC:3.4.22.-]
K19946	optineurin
K18440	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2
K13486	chemotaxis protein methyltransferase WspC
K03103	multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]
K08342	cysteine protease ATG4 [EC:3.4.22.-]
K07471	probable transcriptional regulator
K11661	helicase SRCAP [EC:3.6.4.-]
K06047	tubulin---tyrosine ligase [EC:6.3.2.25]
K07195	exocyst complex component 7
K04535	guanine nucleotide-binding protein G(z) subunit alpha
K21125	mucin-5AC
K10108	maltose/maltodextrin transport system substrate-binding protein
K00127	formate dehydrogenase subunit gamma
K08585	calpain, invertebrate [EC:3.4.22.-]
K02175	putative enzyme (brainiac)
K13174	THO complex subunit 5
K04113	benzoyl-CoA reductase subunit B [EC:1.3.7.8]
K10418	dynein light chain LC8-type
K09503	DnaJ homolog subfamily A member 2
K03845	alpha-1,3-mannosyltransferase [EC:2.4.1.258]
K07242	putative multicomponent Na+:H+ antiporter subunit B
K16575	centractin
K09100	single-minded
K17969	mitochondrial fission 1 protein
K14584	2-hydroxychromene-2-carboxylate isomerase [EC:5.99.1.4]
K18661	malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.-]
K07159	uncharacterized protein
